Credit Score,Geography,Gender,Age,Customer Since,Current Account,Num of products,UPI Enabled,Estimated Yearly Income,Closed
630,Bengaluru,Male,30,1,775972.498,4,0,188391,0
501,Mumbai,Female,31,7,2029844.69,2,1,385622,0
490,Bengaluru,Female,34,6,2135676.111,2,1,491654,0
543,Delhi,Male,23,5,1799423.309,4,0,464867,1
584,Bengaluru,Female,44,6,0,4,1,104959,0
501,Mumbai,Male,51,6,1142811.626,2,0,315801,1
577,Bengaluru,Male,24,3,1379676.964,2,1,461706,0
381,Bengaluru,Female,56,6,1073038.125,2,1,30024,0
566,Bengaluru,Female,31,4,0,4,1,18550,0
503,Delhi,Female,48,4,1449626.652,2,0,373812,0
531,Bengaluru,Female,36,1,0,4,0,146252,0
615,Bengaluru,Female,38,1,1254680.899,2,1,246748,0
589,Bengaluru,Male,42,8,738455.6469,2,1,432519,0
528,Delhi,Male,35,6,0,2,1,78900,0
577,Mumbai,Male,45,8,1606384.831,2,1,201767,0
451,Delhi,Male,48,4,1399163.692,2,0,99298,0
574,Bengaluru,Male,31,4,1405844.866,2,1,115990,0
586,Delhi,Female,38,3,0,4,1,211099,0
483,Delhi,Male,44,4,1031923.538,4,1,183624,0
469,Mumbai,Female,84,3,2021454.546,2,1,190184,1
640,Bengaluru,Female,39,3,0,4,1,254019,0
448,Bengaluru,Female,50,2,1859131.341,2,1,119007,1
335,Bengaluru,Female,31,0,616388.8632,4,1,146536,0
612,Bengaluru,Male,67,7,1432995.622,2,1,141341,0
560,Mumbai,Female,48,2,1410824.367,4,0,179517,0
497,Delhi,Male,36,6,0,4,1,10220,0
509,Bengaluru,Male,45,3,1708631.95,2,0,332387,0
549,Bengaluru,Female,61,7,1782815.454,2,0,491860,1
563,Bengaluru,Male,41,3,0,4,0,22692,0
578,Mumbai,Female,51,2,1868121.762,5,1,432643,1
658,Mumbai,Female,48,1,897542.4685,4,1,453923,0
617,Bengaluru,Male,36,6,0,2,1,515518,0
674,Bengaluru,Female,38,7,1685679.179,4,0,104475,0
614,Bengaluru,Female,31,8,1478868.973,2,1,59899,0
577,Bengaluru,Male,35,6,0,4,1,546373,0
488,Bengaluru,Female,31,7,0,4,0,95203,0
559,Delhi,Male,47,1,0,4,1,22487,0
609,Delhi,Female,79,3,0,4,1,214240,0
549,Delhi,Female,35,8,0,4,1,524804,0
448,Delhi,Female,54,0,0,4,0,192884,0
453,Bengaluru,Female,38,7,2288626.695,2,1,284944,0
568,Mumbai,Female,53,8,1467831.131,4,1,542650,0
583,Bengaluru,Male,53,5,2132870.508,2,0,366788,0
456,Bengaluru,Female,24,1,1463256.787,2,1,245859,0
400,Mumbai,Female,45,8,1603919.47,4,1,407098,0
548,Delhi,Male,74,4,0,4,1,136127,0
529,Delhi,Female,50,4,2862893.548,2,1,468637,1
495,Delhi,Male,30,4,0,4,1,29864,1
364,Bengaluru,Female,51,2,0,4,1,92824,1
477,Delhi,Male,74,3,0,4,0,16598,0
526,Bengaluru,Female,47,4,1107282.548,4,1,491728,0
639,Bengaluru,Male,44,1,0,2,1,369782,1
533,Bengaluru,Female,42,5,1349748.921,4,1,4865,0
657,Delhi,Male,50,1,0,2,1,45210,1
476,Bengaluru,Male,45,6,0,4,1,6580,0
589,Mumbai,Female,34,2,2238617.678,4,0,177628,0
528,Mumbai,Male,42,7,1441221.504,2,1,292220,1
552,Bengaluru,Male,79,2,0,4,1,120064,0
569,Mumbai,Female,77,3,1313292.345,2,0,448156,0
438,Bengaluru,Male,36,4,0,4,1,347857,0
483,Mumbai,Female,30,4,2682118.099,2,1,45156,0
572,Delhi,Female,45,5,2089544.773,2,0,503188,0
486,Bengaluru,Male,79,0,1725484.431,2,0,29326,1
409,Mumbai,Male,36,5,1615050.728,4,1,434912,0
546,Bengaluru,Male,34,5,0,4,1,43417,0
431,Bengaluru,Female,50,1,2175583.214,2,1,225425,0
525,Delhi,Female,53,7,1425215.153,4,1,410310,1
537,Mumbai,Female,34,8,1614188.767,4,1,383234,0
474,Delhi,Male,22,2,0,4,0,16399,0
416,Bengaluru,Male,56,1,0,2,1,317217,1
583,Bengaluru,Male,31,5,0,4,1,271241,0
531,Bengaluru,Female,51,0,0,4,1,76339,0
586,Delhi,Female,85,3,436171.8674,4,1,218155,1
527,Delhi,Male,28,6,0,4,1,446760,0
533,Mumbai,Female,48,7,1620430.743,2,0,449446,1
478,Delhi,Female,82,6,1549066.453,2,0,18568,0
580,Bengaluru,Female,44,8,790481.8978,4,1,71611,0
653,Mumbai,Male,48,4,1062583.504,4,0,463536,0
591,Mumbai,Male,64,7,1324094.327,4,1,386147,1
692,Mumbai,Female,61,7,1184236.814,2,1,326520,1
500,Bengaluru,Female,48,4,1701822.998,2,0,357993,0
452,Mumbai,Female,59,3,1902435.88,4,0,216817,0
679,Bengaluru,Female,23,8,0,2,1,54232,1
579,Mumbai,Female,27,8,1674856.549,2,1,52775,0
653,Delhi,Female,48,4,0,4,1,368855,0
463,Delhi,Male,38,5,1951325.768,2,0,538530,0
590,Bengaluru,Female,89,4,997638.984,2,1,387623,0
577,Delhi,Female,23,8,0,4,0,355057,0
559,Mumbai,Female,36,8,1797046.792,4,1,333570,0
666,Mumbai,Female,51,8,1289079.915,2,1,216288,0
534,Delhi,Male,35,1,1272438.86,2,1,46672,0
666,Bengaluru,Female,39,1,0,4,0,9275,0
538,Bengaluru,Male,32,6,0,4,1,197807,0
466,Bengaluru,Male,35,8,1616403.225,4,1,356822,0
609,Delhi,Male,56,8,710371.7343,2,1,215771,1
605,Delhi,Female,45,4,1130097.887,2,1,53180,0
646,Delhi,Male,30,4,0,4,0,237544,0
470,Delhi,Female,30,4,0,4,0,19034,0
544,Bengaluru,Female,62,4,2036829.067,5,1,342131,1
650,Delhi,Female,39,6,0,4,0,385717,0
578,Mumbai,Female,38,7,2003636.201,4,0,4279,0
602,Bengaluru,Female,45,8,0,4,1,52187,0
448,Mumbai,Male,50,8,1673397.418,2,1,172864,1
535,Delhi,Female,41,1,0,4,0,232688,0
420,Bengaluru,Male,42,7,1415244.62,2,0,9216,0
444,Delhi,Male,57,4,0,4,1,106772,0
598,Mumbai,Female,51,8,1580582.694,4,1,538853,0
579,Mumbai,Female,51,2,354915.728,4,1,480633,0
434,Delhi,Male,65,6,0,2,0,531841,1
430,Bengaluru,Male,41,1,2165703.076,2,1,410736,1
420,Bengaluru,Male,54,4,0,2,1,261035,1
581,Mumbai,Male,39,5,1629083.963,4,1,147826,0
448,Delhi,Female,107,2,1668386.005,4,1,497880,0
413,Delhi,Male,38,4,0,4,1,166277,0
412,Bengaluru,Male,48,1,0,4,1,87035,0
478,Mumbai,Male,45,5,1234452.086,4,1,19464,0
496,Bengaluru,Female,48,5,0,2,0,308466,0
405,Mumbai,Female,39,6,1365213.421,4,1,254496,0
582,Mumbai,Female,50,2,1022628.676,4,1,58450,0
493,Mumbai,Female,47,8,1132137.854,4,0,265725,0
563,Mumbai,Male,48,7,1707177.794,2,1,162621,1
429,Mumbai,Male,45,8,1154661.553,4,1,259494,0
588,Bengaluru,Female,32,3,1596272.829,2,1,444398,0
487,Mumbai,Female,54,8,1261799.119,2,1,362009,1
617,Bengaluru,Male,38,1,2115450.479,2,1,166388,1
390,Mumbai,Female,64,1,1327616.36,5,1,235978,1
477,Bengaluru,Female,36,8,0,2,1,19111,0
511,Mumbai,Female,31,3,1415307.388,4,0,341793,0
492,Mumbai,Male,50,8,2330034.684,2,1,269308,0
482,Bengaluru,Female,45,6,0,4,1,227638,0
491,Bengaluru,Female,44,7,611877.2418,2,1,524562,0
458,Delhi,Female,24,6,0,4,0,44713,0
579,Delhi,Female,67,2,1381481.333,4,0,72722,0
512,Mumbai,Female,39,7,1402050.237,2,1,249328,0
553,Bengaluru,Female,42,6,818646.8089,2,1,533222,0
586,Bengaluru,Male,38,3,1499792.617,4,1,372948,0
458,Mumbai,Female,53,6,1284400.039,4,1,541974,0
600,Delhi,Male,54,2,0,4,0,486858,0
368,Mumbai,Female,36,6,2106958.633,2,1,306501,0
474,Mumbai,Male,69,5,1461692.709,2,1,157689,1
612,Bengaluru,Male,48,7,0,4,1,383150,1
584,Bengaluru,Male,34,1,2089159.965,2,0,46930,0
569,Mumbai,Female,41,2,1587618.148,4,1,283732,0
593,Delhi,Female,42,8,0,4,1,276347,0
545,Delhi,Female,42,0,2564553.459,2,1,532881,0
480,Delhi,Male,38,5,0,4,1,468571,0
472,Mumbai,Female,54,2,2575603.199,4,1,463865,0
604,Bengaluru,Female,36,5,0,4,0,105622,0
492,Bengaluru,Female,36,3,0,2,1,115543,1
508,Bengaluru,Female,42,0,0,4,0,307149,0
579,Delhi,Male,112,4,1333448.759,2,1,477058,0
577,Bengaluru,Male,47,8,1721937.033,2,1,284863,0
570,Delhi,Male,39,8,0,4,0,468504,0
618,Bengaluru,Female,44,5,2272863.034,2,1,249596,1
574,Bengaluru,Female,26,8,0,4,0,307770,0
451,Bengaluru,Female,53,6,980340.4418,2,1,159121,0
621,Mumbai,Female,34,6,1935771.15,4,1,384298,1
396,Delhi,Female,53,5,643290.871,2,1,145453,0
518,Mumbai,Male,30,2,1449847.398,2,0,525030,0
574,Bengaluru,Male,42,8,0,4,1,38182,1
541,Bengaluru,Male,47,5,0,2,1,443438,0
610,Bengaluru,Male,57,6,1550558.949,4,1,149249,1
534,Bengaluru,Male,45,5,0,4,1,386509,0
635,Delhi,Female,39,4,913450.4177,2,1,318998,0
361,Bengaluru,Male,39,8,1337129.942,2,1,353525,1
489,Bengaluru,Male,56,3,1177269.029,2,0,377451,0
492,Delhi,Female,47,4,2138959.602,2,0,311196,0
614,Bengaluru,Female,82,1,1656498.582,4,0,390092,0
479,Delhi,Male,56,8,0,4,0,461305,0
559,Bengaluru,Male,24,3,1372339.964,2,1,434581,0
634,Bengaluru,Male,27,0,0,4,0,306605,0
654,Bengaluru,Male,98,7,0,4,0,405485,0
484,Bengaluru,Female,65,8,0,2,1,291357,1
590,Bengaluru,Female,54,1,1692827.041,2,0,66356,0
448,Bengaluru,Female,42,3,0,2,1,492268,0
561,Mumbai,Male,30,2,685859.1067,4,0,215327,0
509,Bengaluru,Male,42,6,1460162.103,2,1,132845,0
540,Delhi,Male,22,8,0,2,1,79828,1
438,Delhi,Female,51,4,0,4,1,347778,0
466,Delhi,Female,36,1,2234648.263,2,1,409705,0
568,Mumbai,Female,65,7,1155165.816,2,1,420220,0
408,Bengaluru,Male,48,3,1940915.284,2,1,471567,0
562,Bengaluru,Male,31,8,1470669.682,2,1,142439,0
486,Delhi,Female,44,1,0,4,1,113165,0
476,Bengaluru,Male,91,4,1428851.395,4,0,255206,0
551,Bengaluru,Female,32,1,874582.6358,2,0,477351,0
418,Bengaluru,Female,39,7,0,2,1,209982,1
526,Bengaluru,Female,44,6,0,4,1,4188,0
464,Mumbai,Female,31,4,1561403.921,4,1,476164,0
430,Mumbai,Female,22,4,1105236.271,4,0,2635,0
522,Bengaluru,Female,42,5,0,4,1,124140,0
383,Delhi,Female,27,7,0,4,1,492228,0
501,Delhi,Male,53,6,2837672.179,4,1,376434,0
504,Bengaluru,Female,51,1,1614560.393,2,1,310727,0
548,Bengaluru,Male,42,8,0,4,1,102502,0
617,Mumbai,Female,48,8,899759.2701,2,1,213949,0
490,Bengaluru,Male,36,7,0,4,1,309407,0
587,Bengaluru,Female,69,4,0,4,1,12311,0
564,Bengaluru,Male,44,3,0,4,0,214074,1
613,Mumbai,Female,53,3,1833456.013,2,1,42531,1
449,Bengaluru,Female,31,8,0,4,1,33390,0
504,Mumbai,Female,31,4,1189019.417,2,0,360871,0
505,Bengaluru,Female,27,2,832683.349,2,0,121157,0
471,Mumbai,Female,47,8,431914.2882,4,1,51326,0
627,Bengaluru,Male,23,6,2150921.254,2,1,199983,0
475,Delhi,Male,42,7,0,4,0,276273,0
596,Mumbai,Male,31,1,2118918.996,2,1,379543,0
598,Delhi,Female,31,8,0,4,1,260354,0
536,Bengaluru,Female,39,5,0,4,1,161320,0
453,Bengaluru,Female,50,5,2547394.166,2,1,413563,1
641,Bengaluru,Male,36,4,0,4,0,320502,0
477,Bengaluru,Female,75,6,2076180.01,2,1,446485,1
408,Bengaluru,Female,50,8,1439490.341,2,0,250503,0
491,Mumbai,Female,39,1,1584381.661,2,1,417940,1
463,Delhi,Male,50,1,0,2,1,229132,1
453,Bengaluru,Male,24,4,0,2,0,56210,0
484,Mumbai,Male,85,2,1296004.071,2,1,246410,1
362,Mumbai,Male,80,2,1826189.226,2,0,81949,0
424,Delhi,Female,31,3,624231.874,2,1,422679,0
476,Mumbai,Male,30,8,1786316.747,4,1,110651,0
510,Bengaluru,Female,28,1,648738.1584,2,1,290114,0
517,Mumbai,Female,42,4,1420866.337,2,1,261961,1
525,Mumbai,Male,48,2,1847356.721,2,1,356005,1
470,Bengaluru,Male,56,1,0,2,1,434951,0
636,Delhi,Male,48,4,0,2,1,364245,0
515,Bengaluru,Female,42,6,1893577.978,2,1,342015,0
567,Delhi,Female,32,1,0,4,0,2016,0
373,Bengaluru,Male,45,8,0,4,1,318762,0
633,Bengaluru,Female,24,4,0,4,1,446071,0
554,Mumbai,Male,59,7,1857723.889,2,1,448188,0
500,Bengaluru,Male,39,1,0,4,1,9159,0
463,Bengaluru,Female,42,8,2564798.363,2,1,547774,0
535,Bengaluru,Female,42,4,938657.0927,2,1,315796,0
545,Bengaluru,Female,44,6,0,4,1,213336,0
577,Bengaluru,Male,35,2,1018013.476,2,1,379683,0
496,Bengaluru,Female,42,1,358483.2696,2,1,488491,1
580,Bengaluru,Male,42,7,0,2,1,44943,0
685,Bengaluru,Female,53,3,1888463.624,7,0,352128,1
505,Bengaluru,Female,38,5,0,4,1,271595,0
388,Mumbai,Female,59,7,1682575.784,4,1,432723,0
367,Bengaluru,Female,36,5,0,4,1,506745,0
603,Delhi,Female,67,3,0,4,1,106618,0
372,Bengaluru,Male,36,6,1658711.452,2,0,164427,0
592,Mumbai,Female,41,5,1873992.254,2,1,309695,1
535,Mumbai,Male,30,8,2091807.701,2,1,456684,0
487,Bengaluru,Female,44,0,1619188.009,2,0,433201,0
537,Delhi,Female,32,4,0,4,1,353848,0
509,Bengaluru,Female,53,8,0,4,0,450123,0
534,Mumbai,Male,61,8,1160001.25,2,1,204861,1
478,Bengaluru,Female,70,8,0,2,1,176975,0
348,Bengaluru,Male,34,2,0,4,1,149287,0
550,Bengaluru,Male,48,4,1228237.399,2,1,216726,0
608,Bengaluru,Male,38,8,0,4,1,139074,0
566,Bengaluru,Male,62,7,0,2,1,346266,1
507,Mumbai,Female,62,6,1638008.155,2,0,1769,1
587,Mumbai,Female,30,8,2121448.804,4,0,277549,1
445,Bengaluru,Male,39,4,0,2,1,365187,0
528,Delhi,Male,44,7,0,2,1,284287,0
614,Mumbai,Male,59,6,1898321.388,2,1,256314,1
489,Delhi,Female,24,6,0,4,0,396347,0
638,Delhi,Male,50,2,1349083.558,4,1,17562,0
583,Bengaluru,Female,44,4,0,4,1,519689,0
483,Bengaluru,Female,44,4,0,4,0,512032,0
526,Mumbai,Female,45,0,2120811.823,2,1,469935,0
625,Bengaluru,Male,41,3,1889902.316,2,0,344865,0
692,Delhi,Female,44,1,1977435.094,2,0,284675,0
473,Mumbai,Female,34,5,1476501.154,2,1,293539,0
566,Delhi,Female,39,6,0,4,1,439437,0
589,Delhi,Female,54,4,959242.3484,2,0,93489,0
402,Bengaluru,Female,32,3,986330.7989,2,0,76404,0
661,Bengaluru,Female,38,0,0,4,1,118277,0
585,Mumbai,Male,107,8,1128408.312,2,1,482883,0
545,Delhi,Female,50,3,925201.412,2,1,515714,0
564,Mumbai,Female,26,5,1981594.13,2,0,40093,0
596,Bengaluru,Female,36,3,0,2,1,21006,0
512,Bengaluru,Female,47,8,0,2,1,293,0
506,Bengaluru,Female,47,4,1202218.102,4,1,540768,0
574,Mumbai,Male,51,8,1981015.775,2,0,27598,1
512,Delhi,Female,39,4,2487346.053,4,0,434046,0
475,Bengaluru,Female,27,4,0,4,1,404402,0
529,Bengaluru,Male,57,8,0,2,1,514935,0
518,Mumbai,Male,56,2,1927638.601,2,1,457544,1
442,Mumbai,Female,59,1,1219484.348,2,0,91266,1
692,Bengaluru,Male,27,4,655783.3538,4,0,491432,0
497,Mumbai,Female,42,1,1486903.931,4,0,441290,0
470,Delhi,Female,41,1,2171436.883,4,1,387778,0
692,Mumbai,Male,47,6,1275542.147,2,1,2050,0
483,Bengaluru,Female,39,2,1760891.503,2,1,179081,0
466,Bengaluru,Male,41,1,0,2,1,155912,0
528,Delhi,Female,31,2,427139.7802,2,1,475351,0
578,Delhi,Male,31,3,1522287.371,2,1,515151,0
692,Bengaluru,Female,47,1,856886.8452,2,1,477235,0
604,Bengaluru,Female,35,5,2229360.286,2,1,79519,0
574,Delhi,Male,67,3,0,5,0,242419,1
632,Bengaluru,Female,45,7,0,4,1,50999,0
568,Mumbai,Male,41,6,1548690.393,2,1,36681,0
483,Bengaluru,Female,35,5,1192244.777,2,1,351752,0
661,Mumbai,Male,26,4,1587866.452,2,0,364287,0
502,Mumbai,Female,53,8,478825.1266,4,1,146018,0
462,Mumbai,Male,27,8,1361433.615,4,1,423282,0
477,Delhi,Male,36,8,715450.2779,4,1,385657,0
417,Mumbai,Female,50,8,1111516.132,4,1,40628,0
640,Bengaluru,Male,82,7,0,2,1,453999,0
590,Delhi,Male,35,0,0,4,1,379537,0
563,Bengaluru,Female,28,1,1620188.486,2,0,21646,0
429,Mumbai,Male,32,5,1638935.609,2,1,444588,0
392,Bengaluru,Female,42,7,2082755.83,4,1,479697,0
541,Bengaluru,Female,30,7,2803159.104,4,1,228060,0
390,Bengaluru,Male,39,2,1414387.401,2,1,536049,0
610,Delhi,Male,45,6,1520563.459,2,1,238552,0
433,Mumbai,Female,65,3,1377132.371,2,1,407427,1
526,Bengaluru,Male,101,5,1162586.051,2,0,286915,0
540,Bengaluru,Male,38,6,1110972.352,2,0,492936,0
521,Mumbai,Male,34,8,1504833.715,2,1,461580,0
585,Delhi,Female,53,4,0,2,0,232812,1
538,Bengaluru,Male,34,3,1762790.574,2,1,455326,0
509,Bengaluru,Female,41,8,1340953.507,5,1,366612,1
387,Bengaluru,Female,47,6,2235374.289,2,0,464792,1
479,Mumbai,Female,59,4,1629658.132,2,0,367032,0
634,Mumbai,Male,24,8,1564259.916,4,1,119747,0
692,Bengaluru,Female,32,8,1553200.522,2,0,110453,0
603,Mumbai,Female,41,7,1478171.528,4,1,462529,0
615,Bengaluru,Female,34,8,1571702.697,2,0,168958,0
511,Mumbai,Male,41,3,1070640.091,2,1,172846,0
473,Mumbai,Female,44,1,1748113.357,2,1,289691,1
613,Bengaluru,Male,51,4,0,4,1,301059,0
472,Delhi,Male,74,0,1811813.386,2,0,297352,0
609,Bengaluru,Female,47,1,1854438.771,2,1,500995,1
536,Mumbai,Female,41,4,1739128.759,4,1,231026,0
651,Bengaluru,Male,31,2,0,4,0,459673,0
692,Mumbai,Female,34,4,1981710.298,2,1,246243,0
556,Mumbai,Male,39,4,1138395.833,2,0,500204,0
494,Delhi,Female,41,7,2189290.638,2,1,210269,0
521,Bengaluru,Male,62,8,1487566.959,4,0,226201,0
553,Mumbai,Female,39,1,1368302.609,2,1,488489,0
521,Bengaluru,Male,36,1,2353175.446,2,0,398323,0
479,Mumbai,Male,50,2,2298637.294,2,1,132878,0
590,Bengaluru,Female,42,5,1600099.863,4,0,484909,0
685,Bengaluru,Female,75,1,667817.7919,2,1,227879,0
589,Bengaluru,Male,38,2,0,4,1,325667,0
672,Bengaluru,Female,70,4,1450186.055,2,1,383923,0
619,Mumbai,Male,44,1,1536523.579,4,1,299724,0
612,Mumbai,Female,32,4,924233.5883,2,1,101062,0
626,Mumbai,Female,79,8,2021504.511,2,1,528328,1
589,Bengaluru,Female,30,4,1168072.463,2,1,264390,0
578,Bengaluru,Male,34,3,0,4,1,307654,0
511,Mumbai,Male,32,8,1735247.986,4,1,203212,0
494,Bengaluru,Male,45,8,0,5,1,363690,1
450,Mumbai,Female,56,3,935564.3075,2,1,308369,1
461,Mumbai,Female,31,4,1691053.907,2,1,299349,0
491,Bengaluru,Female,35,6,0,2,1,542642,1
596,Bengaluru,Female,70,8,1807597.389,2,0,8955,1
622,Mumbai,Male,38,7,1810238.726,4,0,128932,0
511,Delhi,Male,45,7,1325030.687,2,1,321996,0
500,Delhi,Female,41,4,0,4,1,357853,0
594,Bengaluru,Male,39,0,2139230.059,2,1,147180,0
646,Bengaluru,Male,82,8,1588950.112,5,1,475600,1
420,Bengaluru,Male,57,5,1354478.28,2,0,332522,0
432,Bengaluru,Female,34,3,1147519.983,2,1,155609,0
554,Delhi,Female,44,2,1202401.016,4,1,64473,0
457,Delhi,Female,48,4,2319342.008,4,1,235044,0
494,Bengaluru,Male,20,0,0,4,1,318113,0
529,Bengaluru,Female,36,0,1175122.08,2,1,143601,0
444,Mumbai,Male,42,7,1441496.171,2,1,372757,1
629,Bengaluru,Female,65,4,0,2,0,394848,0
551,Mumbai,Male,53,4,2020166.68,4,1,523468,0
626,Bengaluru,Male,27,6,0,4,1,484523,0
552,Bengaluru,Female,34,2,0,4,1,161112,0
587,Bengaluru,Female,48,6,0,4,0,167182,0
507,Delhi,Female,48,2,1908648.668,2,1,78850,0
430,Delhi,Female,23,6,1280228.866,2,1,466493,0
447,Bengaluru,Male,44,7,1320709.203,2,0,431368,0
499,Bengaluru,Female,41,8,1717471.87,2,0,228349,0
373,Mumbai,Male,30,2,2438257.116,4,1,26243,0
410,Mumbai,Female,50,6,1717136.053,4,1,410148,0
587,Delhi,Male,35,8,0,2,1,372947,1
500,Delhi,Male,48,8,1348459.437,2,1,538378,0
566,Bengaluru,Male,34,4,1301629.682,2,0,272718,0
583,Mumbai,Male,36,8,1239711.219,4,1,63652,0
533,Delhi,Male,31,8,0,4,0,234904,0
491,Bengaluru,Female,51,4,1658481.886,2,1,53382,0
522,Mumbai,Male,72,5,1256446.175,4,1,391933,1
609,Mumbai,Female,54,2,1525294.96,2,0,202348,1
